EN,ZH
click,点击
tap,点击
move,移到
hover,移到
type,输入
enter,输入
select,选择
choose,选择
read,读取
fetch,读取
show,显示
print,显示
save,储存
echo,回声
dump,转储
write,写入
snap,快照
table,表格
mouse,滑鼠
keyboard,键盘
live,互动
download,下载
upload,上载
load,加载
receive,接收
frame,框架
popup,弹出
wait,等待
timeout,倒数
seconds,秒
second,秒
api,api
dom,dom
js,js
vision,视觉
else if,否则如果
else,否则
if,如果
for,让
while,当
check,验证
more than or equals to,多过或等于
more than or equal to,多过或等于
greater than or equals to,多过或等于
greater than or equal to,多过或等于
higher than or equals to,多过或等于
higher than or equal to,多过或等于
less than or equals to,少过或等于
less than or equal to,少过或等于
lesser than or equals to,少过或等于
lesser than or equal to,少过或等于
lower than or equals to,少过或等于
lower than or equal to,少过或等于
more than,多过
greater than,多过
higher than,多过
less than,少过
lesser than,少过
lower than,少过
not equals to,不等于
not equal to,不等于
equals to,等于
equal to,等于
not contains,不包括
not contain,不包括
contains,包括
contain,包括
and,和
or,或
from,从
to,到
as,为
title(),标题()
url(),网址()
text(),文本()
timer(),计时()
count(),计数()
present(),存在()
visible(),可见()
mouse_xy(),滑鼠_xy()
mouse_x(),滑鼠_x()
mouse_y(),滑鼠_y()
