EN,HU
click,kattint
rclick,jobbkattint
dclick,dublakattint
tap,koppint
move,mozog
hover,lebeg
type,írd
enter,belép
select,választ
choose,választ
read,olvas
fetch,lekérés
show,mutat
print,nyomtatás
save,mentés
echo,kiír
dump,lerak
write,ír
snap,kép
ask,kérdez
table,táblázat
mouse,egér
keyboard,billentyűzet
live,élő
download,letöltés
upload,feltölt
load,betöltés
receive,kap
frame,keret
popup,felugrik
wait,várj
timeout,időtúllépés
seconds,másodperc
second,második
api,api
dom,dom
js,js
else if,egyébként ha
else,különben
if,ha
for,bejár
while,míg
check,jelölje be
more than or equals to,több vagy egyenlő
more than or equal to,több vagy egyenlő
greater than or equals to,nagyobb vagy egyenlő
greater than or equal to,nagyobb vagy egyenlő
higher than or equals to,magasabb vagy egyenlő
higher than or equal to,nagyobb vagy egyenlő
less than or equals to,kevesebb vagy egyenlő
less than or equal to,kevesebb vagy egyenlő
lesser than or equals to,kisebb vagy egyenlő
lesser than or equal to,kisebb vagy egyenlő
lower than or equals to,kisebb vagy egyenlő
lower than or equal to,kisebb vagy egyenlő
more than,több mint
greater than,nagyobb mint
higher than,magasabb mint
less than,kevesebb mint
lesser than,kevesebb mint
lower than,alacsonyabb mint
not equals to,nem egyenlő
not equal to,nem egyenlő
equals to,egyenlő
equal to,egyenlő
not contains,nem tartalmaz
not contain,nem tartalmazhat
contains,tartalmaz
contain,tartalmaz
and,és
or,vagy
from,tól
to,ide
as,mint
title(),cím()
url(),url()
text(),szöveg()
timer(),időzítő()
count(),számol()
present(),megjelenik()
visible(),látható()
mouse_xy(),egér_xy()
mouse_x(),egér_x()
mouse_y(),egér_y()
