EN,ID
click,klik
tap,tap
move,move
hover,gerak
type,taip
enter,enter
select,pilih
choose,choose
read,salin
fetch,ambil
show,tunjuk
print,cetak
save,simpan
echo,gema
dump,buang
write,tulis
snap,mengambar
table,tabel
mouse,mouse
keyboard,keyboard
live,langsung
download,download
upload,upload
load,tugaskan
receive,terima
frame,frame
popup,muncul
wait,tunggu
timeout,masa tamat
seconds,detik
second,second
api,api
dom,dom
js,js
else if,lain jika
else,lain
if,jika
for,untuk
while,selagi
check,periksa
more than or equals to,lebih dari atau sama dengan
more than or equal to,lebih dari atau sama dengan
greater than or equals to,lebih besar dari atau sama dengan
greater than or equal to,lebih dari atau sama dengan
higher than or equals to,lebih tinggi dari atau sama dengan
higher than or equal to,lebih tinggi dari atau sama dengan
less than or equals to,kurang dari atau sama dengan
less than or equal to,kurang dari atau sama dengan
lesser than or equals to,kurang dari atau sama dengan
lesser than or equal to,kurang dari atau sama dengan
lower than or equals to,lebih rendah dari atau sama dengan
lower than or equal to,lebih rendah dari atau sama dengan
more than,lebih dari
greater than,lebih besar dari
higher than,lebih tinggi dari
less than,kurang dari
lesser than,lebih rendah dari
lower than,lebih rendah dari
not equals to,tidak sama dengan
not equal to,tidak sebanding dengan
equals to,sama dengan
equal to,sama dengan
not contains,tidak berisi
not contain,tidak mengandung
contains,mengandung
contain,berisi
and,dan
or,atau
from,dari
to,ke
as,sebagai
title(),judul()
url(),url()
text(),teks()
timer(),timer()
count(),menghitung()
present(),menyajikan()
visible(),terlihat()
mouse_xy(),mouse_xy()
mouse_x(),mouse_x()
mouse_y(),mouse_y()
