EN,PL
click,kliknij
tap,kran
move,ruszaj się
hover,wahać się
type,rodzaj
enter,wchodzić
select,wybierz
choose,wybierać
read,czytać
fetch,sprowadzać
show,pokazać
print,wydrukować
save,zapisać
echo,echo
dump,wysypisko
write,pisać
snap,kłapnięcie
table,stół
mouse,mysz
keyboard,klawiatura
live,relacja na żywo
download,pobieranie
upload,przekazać plik
load,załadować
receive,otrzymać
frame,rama
popup,popup
wait,czekać
timeout,koniec czasu
seconds,towary drugiej jakości
second,druga
api,api
dom,dom
js,js
else if,jeśli jeszcze
else,jeszcze
if,gdyby
for,dla
while,podczas gdy
check,czek
more than or equals to,większy lub równy
more than or equal to,większy lub równy
greater than or equals to,większy lub równy
greater than or equal to,większe bądź równe
higher than or equals to,wyższy lub równy
higher than or equal to,wyższy lub równy
less than or equals to,mniejszy niż lub równy
less than or equal to,mniejszy lub równy
lesser than or equals to,mniejsze lub równe
lesser than or equal to,mniejsze lub równe
lower than or equals to,niższe lub równe
lower than or equal to,mniejsze lub równe
more than,więcej niż
greater than,lepszy niż
higher than,wyższy niż
less than,mniej niż
lesser than,mniejszy niż
lower than,niższa niż
not equals to,nie równa się
not equal to,nie równa się
equals to,równa się
equal to,równy
not contains,nie zawiera
not contain,nie zawierają
contains,zawiera
contain,zawierać
and,i
or,lub
from,od
to,do
as,tak jak
title(),tytuł()
url(),adres url()
text(),tekst()
timer(),regulator czasowy()
count(),liczyć()
present(),teraźniejszość()
visible(),widoczny()
mouse_xy(),mysz_xy()
mouse_x(),mysz_x()
mouse_y(),mysz_y()
